,attendance,away_conference,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,home_conference,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week,capacity,city,country_code,dome,elevation,grass,location,name,state,year_constructed,zip,rain,max_temp,min_temp,attendance_percentage,home_team_ranked_ind,away_team_ranked_ind
34,40350.0,SEC,"[21, 10, 21, 7]",59,0.9964941620150344,Alabama,True,SEC,"[0, 0, 0, 0]",0,0.003505837984965676,Vanderbilt,400933871,False,2017,regular,2017-09-23,Vanderbilt Stadium,3973.0,4,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,100.0,0,1
35,36282.0,SEC,"[7, 14, 17, 7]",45,0.9948813782643156,Georgia,True,SEC,"[0, 7, 0, 7]",14,0.005118621735684413,Vanderbilt,400933885,False,2017,regular,2017-10-07,Vanderbilt Stadium,3973.0,6,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,89.9182156133829,0,1
36,26350.0,Conference USA,"[7, 7, 3, 0]",17,0.004478586333542367,Western Kentucky,False,SEC,"[14, 7, 7, 3]",31,0.9955214136664576,Vanderbilt,400933912,False,2017,regular,2017-11-04,Vanderbilt Stadium,3973.0,10,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,65.30359355638166,0,0
37,27346.0,SEC,"[7, 13, 21, 3]",44,0.9884325728468409,Kentucky,True,SEC,"[7, 0, 14, 0]",21,0.011567427153159076,Vanderbilt,400933920,False,2017,regular,2017-11-11,Vanderbilt Stadium,3973.0,11,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,67.77199504337051,0,0
38,22910.0,SEC,"[7, 28, 3, 7]",45,0.9953055820616674,Missouri,True,SEC,"[0, 0, 17, 0]",17,0.004694417938332603,Vanderbilt,400933929,False,2017,regular,2017-11-18,Vanderbilt Stadium,3973.0,12,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,56.778190830235445,0,0
39,12616.0,Conference USA,"[7, 28, 14, 7]",56,0.7962136286509066,UCF,False,Mid-American,"[0, 0, 7, 7]",14,0.20378637134909341,Akron,322432006,False,2012,regular,2012-08-30,Summa Field at InfoCision Stadium,3768.0,1,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,42.053333333333335,0,0
40,9933.0,,"[3, 3, 0, 0]",6,2.8480073450354304e-05,Morgan State,False,Mid-American,"[14, 7, 24, 21]",66,0.9999715199265496,Akron,322592006,False,2012,regular,2012-09-15,Summa Field at InfoCision Stadium,3768.0,3,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,33.11,0,0
41,8211.0,Mid-American,"[13, 22, 10, 11]",56,0.05216953100413424,Miami (OH),True,Mid-American,"[14, 14, 7, 14]",49,0.9478304689958658,Akron,322732006,False,2012,regular,2012-09-29,Summa Field at InfoCision Stadium,3768.0,5,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,27.37,0,0
42,10102.0,Mid-American,"[0, 0, 17, 7]",24,0.5219277088473805,Bowling Green,True,Mid-American,"[0, 10, 0, 0]",10,0.4780722911526195,Akron,322802006,False,2012,regular,2012-10-06,Summa Field at InfoCision Stadium,3768.0,6,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,33.67333333333333,0,0
43,7074.0,Mid-American,"[10, 10, 10, 7]",37,0.699729273689335,Northern Illinois,True,Mid-American,"[0, 7, 0, 0]",7,0.30027072631066504,Akron,322942006,False,2012,regular,2012-10-20,Summa Field at InfoCision Stadium,3768.0,8,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,23.580000000000002,0,0
44,7716.0,Mid-American,"[3, 12, 0, 7]",22,,UMass,True,Mid-American,"[0, 0, 7, 7]",14,,Akron,323152006,False,2012,regular,2012-11-10,Summa Field at InfoCision Stadium,3768.0,11,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,25.72,0,0
45,19653.0,,"[13, 0, 11, 9]",33,0.6659034164901012,James Madison,False,Mid-American,"[0, 14, 14, 7]",35,0.33409658350989885,Akron,332502006,False,2013,regular,2013-09-07,Summa Field at InfoCision Stadium,3768.0,2,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,65.51,0,0
46,18809.0,Sun Belt,"[7, 7, 7, 14]",35,0.44621595059503827,Louisiana,False,Mid-American,"[0, 14, 3, 13]",30,0.5537840494049617,Akron,332642006,False,2013,regular,2013-09-21,Summa Field at InfoCision Stadium,3768.0,4,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,62.696666666666665,0,0
47,19775.0,Mid-American,"[9, 21, 3, 10]",43,0.27171840923609747,Ohio,True,Mid-American,"[3, 0, 0, 0]",3,0.7282815907639025,Akron,332782006,False,2013,regular,2013-10-05,Summa Field at InfoCision Stadium,3768.0,6,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,65.91666666666667,0,0
48,16119.0,Mid-American,"[14, 14, 7, 7]",42,0.6147177758745002,Ball State,True,Mid-American,"[3, 7, 7, 7]",24,0.3852822241254999,Akron,332992006,False,2013,regular,2013-10-26,Summa Field at InfoCision Stadium,3768.0,9,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,53.73,0,0
49,20239.0,Mid-American,"[0, 7, 0, 0]",7,0.4666093052661635,Kent State,True,Mid-American,"[7, 3, 0, 6]",16,0.5333906947338365,Akron,333062006,False,2013,regular,2013-11-02,Summa Field at InfoCision Stadium,3768.0,10,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,67.46333333333332,0,0
50,12506.0,Mid-American,"[7, 3, 7, 12]",29,0.1294306769463155,Toledo,True,Mid-American,"[7, 10, 7, 7]",31,0.8705693230536845,Akron,333332006,False,2013,regular,2013-11-29,Summa Field at InfoCision Stadium,3768.0,14,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,41.68666666666667,0,0
51,9104.0,,"[0, 0, 0, 0]",0,1.918089385943844e-05,Howard,False,Mid-American,"[21, 0, 13, 7]",41,0.9999808191061406,Akron,400548090,False,2014,regular,2014-08-28,Summa Field at InfoCision Stadium,3768.0,1,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,30.346666666666668,0,0
52,8416.0,Mid-American,"[6, 0, 0, 0]",6,6.508656586790007e-05,Eastern Michigan,True,Mid-American,"[7, 3, 14, 7]",31,0.9999349134341321,Akron,400548122,False,2014,regular,2014-10-04,Summa Field at InfoCision Stadium,3768.0,6,30000,Akron,US,0.0,321.2875061,0.0,"{'y': -81.5083408, 'x': 41.0725534}",Summa Field at InfoCision Stadium,OH,2009.0,44399,,,,28.053333333333335,0,0
